AssetClass,Symbol,Description,ListingExchange,DateTime,Quantity,TradePrice,TradeMoney,Proceeds,Taxes,IBCommission,NetCash,ClosePrice,CostBasis,FifoPnlRealized,Buy/Sell
CASH,EUR.USD,EUR.USD,,2024-03-20;15:39:47,-100,1.092,-109.2,109.2,0,-2,0,0,0,0,SELL
STK,AMZN,AMAZON.COM INC,NASDAQ,2024-03-21;09:30:31,0.5,180.86,90.43,-90.43,0,-0.35035725,-90.78035725,178.15,90.78035725,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2024-05-01;09:30:07,0.6747,147.4083,99.45638001,-99.45638001,0,-0.35039219,-99.8067722,144.27,99.8067722,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2024-05-01;09:30:09,0.5883,169.8839,99.94269837,-99.94269837,0,-0.35037491,-100.29307328,169.3,100.29307328,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2024-05-01;09:30:13,0.0003,169.97,0.050991,-0.050991,0,-0.00000006,-0.05099106,169.3,0.05099106,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2024-05-01;09:30:13,0.0036,146.91,0.528876,-0.528876,0,-0.00000072,-0.52887672,144.27,0.52887672,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2024-05-01;09:30:15,0.0001,146.77,0.014677,-0.014677,0,-0.00000002,-0.01467702,144.27,0.01467702,0,BUY
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2024-05-13;09:30:07,0.6072,164.64,99.969408,-99.969408,0,-0.35037869,-100.31978669,169.14,100.31978669,0,BUY
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2024-05-13;09:30:12,0.0001,164.7,0.01647,-0.01647,0,-0.00000002,-0.01647002,169.14,0.01647002,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-13;09:43:55,-62.88,1.08015,-67.919832,67.919832,0,0,0,0,0,0,SELL
STK,INTC,INTEL CORP,NASDAQ,2024-05-14;09:30:00,3,30.62,91.86,-91.86,0,-0.35535725,-92.21535725,31.05,92.21535725,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-14;09:31:01,-84.97,1.0813,-91.878061,91.878061,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-14;09:31:01,-0.31,1.08125,-0.3351875,0.3351875,0,0,0,0,0,0,SELL
STK,BRK B,BERKSHIRE HATHAWAY INC-CL B,NYSE,2024-05-14;09:46:19,0.2439,409.853,99.9631467,-99.9631467,0,-0.35030603,-100.31345273,410.24,100.31345273,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-14;09:46:23,-92,1.07985,-99.3462,99.3462,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-14;09:46:23,-0.33,1.0798,-0.356334,0.356334,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-14;09:46:28,-0.43,1.0798,-0.464314,0.464314,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-14;09:46:29,-0.12,1.08135,-0.129762,0.129762,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-14;17:00:00,-0.00353532,1.08157543,-0.00382372,0.00382372,0,0,0,0,0,0,SELL
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2024-05-22;14:37:53,0.2142,466.8,99.98856,-99.98856,0,-0.35030009,-100.33886009,467.78,100.33886009,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-22;14:37:53,-0.21,1.0819,-0.227199,0.227199,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-22;14:37:54,-92.43,1.082,-100.00926,100.00926,0,0,0,0,0,0,SELL
STK,AAPL,APPLE INC,NASDAQ,2024-05-23;09:30:00,0.0006,190.98,0.114588,-0.114588,0,-0.000114792,-0.114702792,186.88,0.114702792,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-23;09:31:00,-0.08,1.08575,-0.08686,0.08686,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-23;17:00:00,-0.00022557,1.08117555,-0.000243882,0.000243882,0,0,0,0,0,0,SELL
STK,BRK B,BERKSHIRE HATHAWAY INC-CL B,NYSE,2024-05-24;10:57:27,0.4911,407.15,199.951365,-199.951365,0,-0.35035547,-200.30172047,407.41,200.30172047,0,BUY
STK,BRK B,BERKSHIRE HATHAWAY INC-CL B,NYSE,2024-05-24;10:57:28,0.0001,407.2,0.04072,-0.04072,0,-0.00000002,-0.04072002,407.41,0.04072002,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-24;10:57:28,-0.3,1.08435,-0.325305,0.325305,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-24;10:57:29,-0.02,1.08455,-0.021691,0.021691,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-24;10:57:29,-184.45,1.08455,-200.0452475,200.0452475,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-24;17:00:00,-0.00309809,1.08437459,-0.00335949,0.00335949,0,0,0,0,0,0,SELL
STK,BRK B,BERKSHIRE HATHAWAY INC-CL B,NYSE,2024-05-28;15:55:26,0.3468,403.62,139.975416,-139.975416,0,-0.35032661,-140.32574261,403.9,140.32574261,0,BUY
CASH,EUR.USD,EUR.USD,,2024-05-28;15:55:26,-0.33,1.0859,-0.358347,0.358347,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-28;15:55:27,-128.87,1.08595,-139.9463765,139.9463765,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-05-28;17:00:00,-2.26314102,1.08533236,-2.456260179,2.456260179,0,0,0,0,0,0,SELL
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2024-06-18;09:33:09,0.0005,176.44,0.08822,-0.08822,0,-0.000088385,-0.088308385,175.09,0.088308385,0,BUY
STK,HUMA,HUMACYTE INC,NASDAQ,2024-06-27;09:30:00,15,4.95,74.25,-74.25,0,-0.37575725,-74.62575725,4.7,74.62575725,0,BUY
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2024-06-27;09:30:01,1,217.6,217.6,-217.6,0,-0.35195725,-217.95195725,224,217.95195725,0,BUY
CASH,EUR.USD,EUR.USD,,2024-06-27;09:30:13,-0.6,1.0703,-0.64218,0.64218,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-06-27;09:30:13,-270,1.0703,-288.981,288.981,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-06-27;09:30:14,-0.34,1.0718,-0.364412,0.364412,0,0,0,0,0,0,SELL
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2024-06-27;09:33:27,0.0001,517.65,0.051765,-0.051765,0,-0.000051823,-0.051816823,519.56,0.051816823,0,BUY
CASH,EUR.USD,EUR.USD,,2024-06-27;09:33:34,-0.05,1.0706,-0.05353,0.05353,0,0,0,0,0,0,SELL
STK,AAPL,APPLE INC,NASDAQ,2024-08-16;09:33:28,0.0005,223.7,0.11185,-0.11185,0,-0.000112032,-0.111962032,226.05,0.111962032,0,BUY
STK,INTC,INTEL CORP,NASDAQ,2024-09-04;09:33:17,0.016,19.96,0.31936,-0.31936,0,-0.000322795,-0.319682795,19.43,0.319682795,0,BUY
