Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"August 14, 2025"
Statement,Data,WhenGenerated,"2025-08-15, 10:56:52 EDT"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,AAPL,0.5913,1,170.696199899,100.932663,232.78,137.64,36.707338,
Open Positions,Data,Summary,Stocks,USD,AMD,16.0784,1,109.054228655,1753.41751,180.95,2909.39,1155.972492,
Open Positions,Data,Summary,Stocks,USD,AMZN,0.5,1,181.560714,90.780357,230.98,115.49,24.709643,
Open Positions,Data,Summary,Stocks,USD,AVUV,2.0146,1,96.242464509,193.890069,96.25,193.91,0.019931,
Open Positions,Data,Summary,Stocks,USD,COIN,4,1,179.036044,716.144176,324.89,1299.56,583.415824,
Open Positions,Data,Summary,Stocks,USD,GOOGL,2.002,1,152.998682817,306.303363,202.94,406.29,99.986637,
Open Positions,Data,Summary,Stocks,USD,HUMA,65,1,2.311358677,150.238314,1.88,122.2,-28.038314,
Open Positions,Data,Summary,Stocks,USD,INTC,6.016,1,27.330624169,164.421035,23.86,143.54,-20.881036,
Open Positions,Data,Summary,Stocks,USD,META,0.2147,1,468.747983232,100.640192,782.13,167.92,67.279806,
Open Positions,Data,Summary,Stocks,USD,NVDA,5.0003,1,108.759278243,543.829019,182.02,910.15,366.320982,
Open Positions,Data,Summary,Stocks,USD,RKLB,25,1,22.31113256,557.778314,42.81,1070.25,512.471686,
Open Positions,Data,Summary,Stocks,USD,VUAA,15,1,105.950828133,1589.262422,123.48,1852.2,262.937578,
Open Positions,Total,,Stocks,USD,,,,,6267.637434,,9328.54,3060.902567,
